time,Close,coin_open_interest_close,open_interest_change_%,price change %,Ratio
2024-09-22 00:00:00,1.608,19918281.799999997,4.148010899213187,3.606965174129356,0.8695650184558438
2024-09-22 19:00:00,1.464,19992539.3,1.513068427480849,0.13661202185792362,0.09028806587774281
2024-09-23 14:00:00,1.546,20096009.2,3.3049352903361418,2.846054333764556,0.8611528165427671
2024-09-25 00:00:00,1.603,21347619.3,1.6385517986073546,1.4348097317529576,0.8756572315702424
2024-09-29 17:00:00,1.772,20379413.4,1.5500004529080313,0.8465011286681786,0.5461296008527072
2024-09-30 08:00:00,1.827,22354478.1,2.2854731732699296,0.6020799124247345,0.2634377508633416
2024-09-30 13:00:00,1.819,23544419.7,2.7399231249687586,0.5497526113249043,0.2006452685898524
2024-09-30 17:00:00,1.84,24880273.299999997,4.6274005358293175,1.7391304347826102,0.3758331316506461
2024-10-01 04:00:00,1.842,26052793.799999997,3.188053098550984,0.4885993485342084,0.1532594763733025
2024-10-15 07:00:00,1.778,22146494.299999997,3.0301197603089585,2.8121484814398223,0.9280651274169733
2024-10-15 08:00:00,1.832,22972112.4,3.5940016556770877,2.9475982532751117,0.820143821753416
