Timestamp,Bid Ask Ratio
2024-10-22 06:03:15,1.04
2024-10-22 06:13:17,1.06
2024-10-22 06:23:19,1.08
2024-10-22 06:33:21,1.08
2024-10-22 06:43:23,1.05
2024-10-22 06:53:25,1.05
2024-10-22 07:03:27,1.06
2024-10-22 07:13:29,1.06
2024-10-22 07:33:32,1.1
2024-10-22 07:43:34,1.1
2024-10-22 07:53:36,1.04
2024-10-22 08:03:38,1.07
2024-10-22 08:13:40,1.03
2024-10-22 08:23:42,1.07
2024-10-22 08:33:44,0.99
2024-10-22 08:43:46,1.03
2024-10-22 08:53:48,1.14
2024-10-22 09:03:50,1.17
2024-10-22 09:13:52,1.13
2024-10-22 09:23:54,1.1
2024-10-22 09:33:56,1.1
2024-10-22 09:43:58,1.15
2024-10-22 09:54:00,1.1
2024-10-22 10:04:02,1.18
2024-10-22 10:14:09,1.15
2024-10-22 10:24:11,1.19
2024-10-22 10:34:13,1.3
2024-10-22 10:44:15,1.34
2024-10-22 10:54:17,1.34
2024-10-22 11:04:19,1.26
2024-10-22 11:14:21,1.36
2024-10-22 11:24:23,1.42
2024-10-22 11:34:25,1.5
2024-10-22 11:44:27,1.46
2024-10-22 11:54:29,1.48
2024-10-22 12:04:31,1.57
2024-10-22 12:14:33,1.52
2024-10-22 12:24:35,1.52
2024-10-22 12:34:37,1.42
2024-10-22 12:44:39,1.43
2024-10-22 12:54:40,1.47
2024-10-22 13:04:42,1.45
2024-10-22 13:14:45,1.45
2024-10-22 13:24:47,1.37
2024-10-22 13:34:49,1.38
2024-10-22 13:44:51,1.41
2024-10-22 13:54:53,1.35
2024-10-22 14:04:55,1.48
2024-10-22 14:14:57,1.33
2024-10-22 14:24:59,1.39
2024-10-22 14:35:01,1.35
2024-10-22 14:45:03,1.38
2024-10-22 14:55:05,1.43
2024-10-22 15:05:07,1.5
2024-10-22 15:15:09,1.4
2024-10-22 15:25:11,1.42
2024-10-22 15:35:13,1.4
2024-10-22 15:45:15,1.52
2024-10-22 15:55:17,1.51
2024-10-22 16:05:19,1.5
2024-10-22 16:15:21,1.56
2024-10-22 16:25:23,1.56
2024-10-22 16:35:24,1.57
2024-10-22 16:45:26,1.45
2024-10-22 16:55:28,1.53
2024-10-22 17:05:30,1.42
2024-10-22 17:15:32,1.41
2024-10-22 17:25:34,1.44
2024-10-22 17:35:36,1.59
2024-10-22 17:45:38,1.45
2024-10-22 17:55:40,1.52
2024-10-22 18:05:42,1.51
2024-10-22 18:15:44,1.53
2024-10-22 18:25:46,1.46
2024-10-22 18:35:48,1.51
2024-10-22 18:45:50,1.61
2024-10-22 18:55:52,1.49
2024-10-22 19:05:54,1.63
2024-10-22 19:15:56,1.55
2024-10-22 19:25:58,1.55
2024-10-22 19:36:00,1.51
2024-10-22 19:46:02,1.54
2024-10-22 19:56:04,1.58
2024-10-22 20:06:06,1.64
2024-10-22 20:16:08,1.53
2024-10-22 20:26:10,1.57
2024-10-22 20:36:11,1.53
2024-10-22 20:46:13,1.59
2024-10-22 20:56:15,1.42
2024-10-22 21:06:17,1.6
2024-10-22 21:16:20,1.66
2024-10-22 21:26:22,1.57
2024-10-22 21:36:24,1.49
2024-10-22 21:46:27,1.6
2024-10-22 21:56:29,1.52
2024-10-22 22:06:31,1.52
2024-10-22 22:16:33,1.55
2024-10-22 22:26:35,1.59
2024-10-22 22:36:37,1.52
2024-10-22 22:46:39,1.52
2024-10-22 22:56:41,1.59
2024-10-22 23:06:43,1.45
2024-10-22 23:16:45,1.56
2024-10-22 23:26:52,1.5
2024-10-22 23:36:54,1.56
2024-10-22 23:46:56,1.59
2024-10-22 23:56:58,1.53
2024-10-23 00:07:00,1.5
2024-10-23 00:17:02,1.54
2024-10-23 00:27:04,1.52
2024-10-23 00:37:06,1.48
2024-10-23 00:47:09,1.55
2024-10-23 00:57:10,1.42
2024-10-23 01:07:12,1.43
2024-10-23 01:17:15,1.41
2024-10-23 01:27:17,1.48
2024-10-23 01:37:20,1.41
2024-10-23 01:47:22,1.46
2024-10-23 01:57:23,1.51
2024-10-23 02:07:27,1.32
2024-10-23 02:17:29,1.48
2024-10-23 02:27:31,1.48
2024-10-23 02:37:33,1.47
2024-10-23 02:47:35,1.39
2024-10-23 02:57:37,1.41
2024-10-23 03:07:38,1.42
2024-10-23 03:17:40,1.37
2024-10-23 03:27:42,1.41
2024-10-23 03:37:44,1.46
2024-10-23 03:47:46,1.4
2024-10-23 03:57:48,1.45
2024-10-23 04:07:50,1.45
2024-10-23 04:17:52,1.47
2024-10-23 04:27:54,1.39
2024-10-23 04:37:56,1.38
2024-10-23 04:47:58,1.54
2024-10-23 04:58:00,1.46
2024-10-23 05:08:01,1.53
2024-10-23 05:18:04,1.65
2024-10-23 05:28:06,1.51
2024-10-23 05:38:09,1.66
2024-10-23 05:48:11,1.31
2024-10-23 05:58:13,1.64
2024-10-23 06:08:15,1.61
2024-10-23 06:18:17,1.55
2024-10-23 06:28:19,1.51
2024-10-23 06:38:21,1.51
2024-10-23 06:48:23,1.55
2024-10-23 06:58:25,1.45
2024-10-23 07:08:27,1.48
2024-10-23 07:18:29,1.56
2024-10-23 07:28:32,1.42
2024-10-23 07:38:34,1.47
2024-10-23 07:48:36,1.52
2024-10-23 07:58:38,1.45
2024-10-23 08:08:40,1.54
2024-10-23 08:18:42,1.49
2024-10-23 08:21:15,1.48
2024-10-23 08:23:34,1.46
