Timestamp,Bid Ask Ratio
2024-10-28 00:02:26,0.51
2024-10-28 00:12:28,0.5
2024-10-28 00:22:30,0.51
2024-10-28 00:32:32,0.58
2024-10-28 00:42:33,0.52
2024-10-28 00:52:36,0.4
2024-10-28 01:02:38,0.47
2024-10-28 01:12:40,0.49
2024-10-28 01:22:42,0.5
2024-10-28 01:32:44,0.51
2024-10-28 01:42:46,0.79
2024-10-28 01:52:48,0.77
2024-10-28 02:02:50,0.87
2024-10-28 02:12:52,0.87
2024-10-28 02:22:54,0.92
2024-10-28 02:32:56,0.99
2024-10-28 02:42:58,0.77
2024-10-28 02:53:01,0.79
2024-10-28 03:03:03,0.88
2024-10-28 03:13:05,0.92
2024-10-28 03:23:07,1.02
2024-10-28 03:33:09,0.9
2024-10-28 03:43:11,0.92
2024-10-28 03:53:13,1.14
2024-10-28 04:03:15,1.01
2024-10-28 04:13:17,1.03
2024-10-28 04:23:19,1.02
2024-10-28 04:33:21,0.79
2024-10-28 04:43:23,0.89
2024-10-28 04:53:25,0.8
2024-10-28 05:03:27,0.86
2024-10-28 05:13:29,0.83
2024-10-28 05:23:31,0.66
2024-10-28 05:33:33,0.84
2024-10-28 05:43:35,0.81
2024-10-28 05:53:37,1.02
2024-10-28 06:03:39,1.0
2024-10-28 06:13:41,0.8
2024-10-28 06:23:43,0.89
2024-10-28 06:33:44,0.92
2024-10-28 06:43:47,0.86
2024-10-28 06:53:49,1.06
2024-10-28 07:03:51,0.93
2024-10-28 07:13:53,0.76
2024-10-28 07:23:54,0.75
2024-10-28 07:33:57,0.91
2024-10-28 07:43:59,0.85
2024-10-28 07:54:00,0.83
2024-10-28 08:04:02,1.02
2024-10-28 08:14:04,0.47
2024-10-28 08:24:07,0.48
2024-10-28 08:34:09,0.41
2024-10-28 08:44:11,0.57
2024-10-28 08:54:13,0.63
2024-10-28 09:04:15,0.54
2024-10-28 09:14:17,0.61
2024-10-28 09:24:20,0.61
2024-10-28 09:34:22,0.46
2024-10-28 09:44:24,0.58
2024-10-28 09:54:26,0.53
2024-10-28 10:04:27,0.62
2024-10-28 10:14:30,0.7
2024-10-28 10:24:32,0.57
2024-10-28 10:34:33,0.62
2024-10-28 10:44:35,0.91
2024-10-28 10:54:37,0.7
2024-10-28 11:04:39,0.8
2024-10-28 11:14:41,0.7
2024-10-28 11:24:43,0.82
2024-10-28 11:34:45,0.45
2024-10-28 11:44:47,0.43
2024-10-28 11:54:48,0.44
2024-10-28 12:04:50,0.47
2024-10-28 12:14:52,0.5
2024-10-28 12:24:54,0.55
2024-10-28 12:34:56,0.44
2024-10-28 12:44:59,0.51
