Timestamp,Bid Ask Ratio
2024-10-28 00:02:27,0.99
2024-10-28 00:12:29,1.01
2024-10-28 00:22:31,1.01
2024-10-28 00:32:33,1.01
2024-10-28 00:42:35,1.01
2024-10-28 00:52:37,1.01
2024-10-28 01:02:39,1.03
2024-10-28 01:12:41,1.01
2024-10-28 01:22:43,1.01
2024-10-28 01:32:45,1.01
2024-10-28 01:42:47,1.01
2024-10-28 01:52:49,1.02
2024-10-28 02:02:51,1.01
2024-10-28 02:12:53,1.01
2024-10-28 02:22:55,1.03
2024-10-28 02:32:57,1.03
2024-10-28 02:43:00,1.02
2024-10-28 02:53:02,1.03
2024-10-28 03:03:04,1.04
2024-10-28 03:13:06,1.04
2024-10-28 03:23:08,1.04
2024-10-28 03:33:10,1.04
2024-10-28 03:43:12,1.01
2024-10-28 03:53:14,1.01
2024-10-28 04:03:16,1.02
2024-10-28 04:13:18,1.01
2024-10-28 04:23:20,1.01
2024-10-28 04:33:22,1.02
2024-10-28 04:43:24,1.02
2024-10-28 04:53:26,1.02
2024-10-28 05:03:28,1.01
2024-10-28 05:13:30,1.02
2024-10-28 05:23:32,1.05
2024-10-28 05:33:34,1.08
2024-10-28 05:43:36,1.07
2024-10-28 05:53:38,1.01
2024-10-28 06:03:40,1.0
2024-10-28 06:13:42,1.06
2024-10-28 06:23:44,1.05
2024-10-28 06:33:46,1.19
2024-10-28 06:43:48,1.18
2024-10-28 06:53:50,1.16
2024-10-28 07:03:52,1.14
2024-10-28 07:13:54,1.16
2024-10-28 07:23:56,1.15
2024-10-28 07:33:58,1.16
2024-10-28 07:44:00,1.15
2024-10-28 07:54:02,1.15
2024-10-28 08:04:04,1.16
2024-10-28 08:14:05,1.12
2024-10-28 08:24:09,1.1
2024-10-28 08:34:10,1.11
2024-10-28 08:44:12,1.06
2024-10-28 08:54:14,1.05
2024-10-28 09:04:16,1.06
2024-10-28 09:14:19,1.06
2024-10-28 09:24:21,1.07
2024-10-28 09:34:23,1.06
2024-10-28 09:44:25,1.05
2024-10-28 09:54:27,1.05
2024-10-28 10:04:29,1.05
2024-10-28 10:14:31,1.04
2024-10-28 10:24:33,1.04
2024-10-28 10:34:35,1.05
2024-10-28 10:44:36,1.05
2024-10-28 10:54:38,1.02
2024-10-28 11:04:40,0.93
2024-10-28 11:14:42,0.96
2024-10-28 11:24:44,0.95
2024-10-28 11:34:46,0.9
2024-10-28 11:44:48,0.88
2024-10-28 11:54:49,0.88
2024-10-28 12:04:51,0.89
2024-10-28 12:14:54,0.89
2024-10-28 12:24:56,0.88
2024-10-28 12:34:58,0.92
2024-10-28 12:45:00,0.94
2024-10-28 12:55:01,0.95
2024-10-28 13:05:03,0.96
2024-10-28 13:15:05,0.96
2024-10-28 13:25:08,0.94
2024-10-28 13:35:10,0.94
2024-10-28 13:45:12,0.94
2024-10-28 13:55:14,0.92
2024-10-28 14:05:16,0.92
2024-10-28 14:15:18,0.92
2024-10-28 14:25:20,0.92
2024-10-28 14:35:23,0.94
2024-10-28 14:45:25,0.94
2024-10-28 14:55:27,0.93
2024-10-28 15:05:29,0.98
2024-10-28 15:15:31,0.89
2024-10-28 15:25:32,0.94
